target_server,coord,x,y,event_time,frame,source_text
#511,i-10,449,849,2026-6-312:12:16,frame_0154,"#523[NBNH]が#511[DaNG]領有中のL.1都市 #511(449,849)を攻撃し、陣営のために破壊宝箱xを勝 碓定 全て受取 目 破壊履歴"
#511,i-12,549,849,2026-6-312:52:32,frame_0176,"#503[TIKW」が#511[DaNG]領有中のL.1都市 #511(549,849)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#511,i-14,649,849,2026-5-3013:03:42,frame_0118,"#480[CDf8」が#511領有中のLV.1都市#511(649,849)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 碓定 全て受取 三！ 破壊履歴"
#511,i-16,749,849,2026-6-320:09:53,frame_0177,"#480[CDf8]が#511領有中のLV.1都市#511(749,849)を Th車史！ はのたみに地南中告いった職取いキ1た 確定 全て受取 目 破壊履歴"
#511,i-18,849,849,2026-6-604:32:12,frame_0189,"#480[AAOA】が#511[5Va]領有中のLV.1都市 #511(849,849)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#511,i-20,949,849,2026-5-2700:02:18,frame_0001,"#480ICDf8]が#511領有中のLV.1都市#511(949,849)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#511,j-4,149,949,2026-6-304:12:35,frame_0132,"#476[ALj]が#511[JL2]領有中のLV.1都市#511(149,949)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 碓定 全て受取 破壊履歴"
#511,j-6,249,949,2026-6-304:02:32,frame_0128,"#523[EDFS]が#511[JL2]領有中のLV.1都市#511(249,949)を ⑦ 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#511,j-8,349,949,2026-6-304:34:54,frame_0139,"#476[AL]が#512[1L2】領有中のLV.1都市#511(349,949)を 攻撃し、陣営のために破壊宝箱x2を勝ち取りました"
#511,j-10,449,949,2026-6-2012:36:25,frame_0352,"#480[C0f8」が#511[2N7]領有中のLV.1都市 #511(449,949)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました"
#511,j-12,549,949,2026-5-2713:24:45,frame_0053,"#476[476M]が#511領有中のLV.1都市#511(549,949)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#511,j-14,649,949,2026-6-1712:05:49,frame_0317,"#480【CDf8]が#511[DaNG]領有中のLV.1都市 #511(649,949)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 確定 全て受取 三！ 破壊履歴"
#511,j-16,749,949,2026-5-2712:56:27,frame_0052,"#480[AAOA」が#511領有中のLV.1都市#511(749,949)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#511,j-18,849,949,2026-5-2712:25:14,frame_0042,"#480[AADA」が#511領有中のLv.1都市#511(849,949)を ⑦ 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#523,a-4,149,49,2026-6-1312:28:29,frame_0281,"#511[2N7]が#523[EDFS]領有中のLV.1都市#523(149,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#523,a-6,249,49,2026-6-1700:00:50,frame_0299,"#511[2N7】が#523領有中のLV.1都市#523(249,49)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました"
#523,a-8,349,49,2026-6-2020:02:03,frame_0356,"#511[2N7]が#523[K4TR]領有中のLV.1都市#523(349,49)を 攻撃し、陣営のために破壊宝箱xをち取りました 2n26-6-7n 2n:02:36 碓定 全て受取 三！ 破壊履歴"
#523,a-14,649,49,2026-6-1720:04:47,frame_0325,"#511[JL0]が#523[EDFS]領有中のLV.1都市#523(649,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 碓定 全て受取 破壊履歴"
#523,b-2,49,149,2026-6-2020:13:43,frame_0361,"#440[G0Ds】が#523[EDFS]領有中のLV.1都市 #523(49,149)を攻撃し、陣営のために破壊宝箱xを勝ち 取りました"
#523,b-4,149,149,2026-6-1312:30:02,frame_0283,"#511[2N7】が#523[EDFS]領有中のLV.1都市#523(149,149)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#523,b-6,249,149,2026-6-1712:02:07,frame_0313,"#511[2N7]が#523[K4TR]領有中のLV.1都市#523(249,149)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#523,b-8,349,149,2026-6-2020:02:36,frame_0357,"#511[2N7]が#523[K4TR]領有中のLV.1都市#523(349,149)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#523,b-16,749,149,2026-6-1720:05:57,frame_0326,"#511[JL0]が#523[5DU]領有中のLV.1都市#523(749,149)を W撃1.陣堂のために破博宝箱xつをち取りましった 確定 全て受取 破壊履歴"
#523,c-2,49,249,2026-6-1304:08:38,frame_0261,"#440【TrXが#523領有中のLV.1都市#523(49,249)を攻 撃し、陣営のために破壊宝箱x2を勝ち取りました"
#523,c-4,149,249,2026-6-1712:51:45,frame_0325,"#440[GoDs]が#523[EDFS]領有中のLV.1都市 #523(149,249)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました"
#523,c-6,249,249,2026-6-1012:03:48,frame_0224,"#511[2N7]が#523[EDFS]領有中のLV.2都市#523(249,249)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました"
#523,c-8,349,249,2026-6-1004:09:58,frame_0217,"#534[JDX]が#523[K4TR]領有中のLv.z都市 #523(349,249)を攻撃し、陣営のために破壊宝額*5を勝 ち取りました"
#523,c-10,449,249,2026-6-1004:28:23,frame_0220,"#511[2N7]が#523[K4TR]領有中のLV.2都市 #523(449,249)を攻撃し、陣営のために破壊宝箱x5を勝 碓定 全て受取 目 破壊履歴"
#523,c-12,549,249,2026-6-604:27:58,frame_0187,"#511[2N7]が#523[K4TR]領有中のLV.2都市 #523(549,249)を攻撃し、陣営のために破壊宝額x5を勝 ち取りました 確定 全て受取 目 破壊履歴"
#523,c-14,649,249,2026-6-2012:10:11,frame_0345,"#440[BA」」が#523[50U]領有中のLv.2都市#523(649,249)を 攻撃し、陣営のために破壊宝箱x5をち取りました"
#523,c-16,749,249,2026-6-1012:05:47,frame_0224,"#440[GoDs]が#523[5Du]領有中のLV.2都市 #523(749,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#523,d-2,49,349,2026-6-1304:04:45,frame_0259,"#440[TrXが#523領有中のLV.1都市#523(49,349)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました 碓定 全て受取 破壊履歴"
#523,d-4,149,349,2026-6-1320:41:05,frame_0296,"#440[GoDs]が#523[EDFS]領有中のLV.1都市 #523(149,349)を攻撃し、陣営のために破壊宝箱xを勝 確定 全て受取 三！ 破壊履歴"
#523,d-6,249,349,2026-6-1312:38:25,frame_0289,"#509[5s0]が#523[EDFS]領有中のLv.2都市 #523(249,349)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#523,d-8,349,349,2026-6-1004:09:58,frame_0217,"#509[5s0]が#523[K4TR]領有中のLV.3都市 #523(349,349)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#523,d-10,449,349,2026-6-604:36:13,frame_0190,"#509[5s0]が#523[K4TR]領有中のLV.3都市 #523(449,349)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#523,d-12,549,349,2026-6-604:29:00,frame_0191,"#511[2N7]が#523[50U]領有中のLV.3都市#523(549,349)を 攻撃し、陣営のために破壊宝箱x10を勝ち取りました"
#523,d-14,649,349,2026-6-604:36:32,frame_0191,"#509[5s0]が#523[5DU]領有中のL.3都市#523(649,349)を 攻撃し、陣営のために破壊宝箱x10を勝ち取りました 碓定 全て受取 破壊履歴"
#523,d-16,749,349,2026-6-1012:13:17,frame_0229,"#440[GoDs]が#523[5DU]領有中のLV.2都市 #523(749,349)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#523,e-2,49,449,2026-6-1304:36:16,frame_0263,"#509[Mon]が#523領有中のLV.1都市#523(49,449)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 碓定 全て受取 目 破壊履歴"
#523,e-4,149,449,2026-6-1312:15:40,frame_0277,"#509[MOn]が#523[EDFS]領有中のLV.1都市 #523(149,449)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#523,e-6,249,449,2026-6-1012:26:25,frame_0238,"#534[DX]が#523[u30]領有中のLv.2都市#523(249,449)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました 碓定 全て受取 破壊履歴"
#523,e-8,349,449,2026-6-1012:18:04,frame_0233,"#509[5s0]が#523[EDFS]領有中のLV.3都市 #523(349,449)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#523,e-14,649,449,2026-6-1012:05:42,frame_0224,"#440[BA」」が#523[NBNH]領有中のLV.3都市 #523(649,449)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#523,e-16,749,449,2026-6-1012:06:50,frame_0225,"#440[BA」」が#523[NBNH]領有中のLv.2都市 #523(749,449)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#523,e-18,849,449,2026-6-2020:20:25,frame_0364,"#509[FHX]が#523[NBNH]領有中のLV.1都市 #523(849,449)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#523,f-2,49,549,2026-6-2012:18:15,frame_0345,"#534[KTVS】が#523[50U]領有中のLV.1都市#523(49,549)を 攻撃し、陣営のために破壊宝箱xをち取りました 碓定 全て受取 三！ 破壊履歴"
#523,f-4,149,549,2026-6-1304:02:28,frame_0259,"#534[KTVS]が#523[u30]領有中のLV.1都市#523(149,549)を 攻撃し、陣営のために破壊宝箱x2を勝ち取りました"
#523,f-6,249,549,2026-6-1304:01:50,frame_0256,"#534[JDX]が#523[u30]]領有中のLV.2都市#523(249,549)を 確定 全て受取 破壊履歴"
#523,f-8,349,549,2026-6-1304:28:41,frame_0262,"#509[5s0]が#523[u30]領有中のLV.3都市#523(349,549)を .ん 確定 全て受取 破壊履歴"
#523,f-14,649,549,2026-6-1004:40:46,frame_0223,"#509[FHX]が#523[NBNH]領有中のLV.3都市 #523(649,549)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#523,f-16,749,549,2026-6-1312:01:20,frame_0266,"#509[FHX】が#523[WUG]領有中のLV.2都市 #523(749,549)を攻撃し、陣営のために破壊宝箱x5を勝 碓定 全て受取 破壊履歴"
#523,f-18,849,549,2026-6-304:24:08,frame_0137,"#509[FHX]が#523[NBNH]領有中のL.1都市 #523(849,549)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#523,g-2,49,649,2026-6-1704:14:49,frame_0308,"#534[JDX]が#523[u30]領有中のLV.1都市#523(49,649)を 攻撃し、陣営のために破壊宝箱x2を勝ち取りました 確定 全て受取 目 破壊履歴"
#523,g-4,149,649,2026-6-2012:20:30,frame_0346,"#534[KTVS]が#523[5DU]領有中のL.1都市 #523(149,649)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#523,g-6,249,649,2026-6-1300:49:24,frame_0255,"#534[KTVS]が#523[u30]領有中のL.2都市 #523(249,649)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 碓定 全て受取 目 破壊履歴"
#523,g-8,349,649,2026-6-1704:48:53,frame_0311,"#509[5sq]が#523領有中のLV.3都市#523(349,649)を攻 確定 全て受取 三！ 破壊履歴"
#523,g-10,449,649,2026-6-2020:05:16,frame_0357,"#509[FHX]が#523[fIrE]領有中のLV.3都市#523(449,649)を 確定 全て受取 目 破壊履歴"
#523,g-12,549,649,2026-6-1712:02:31,frame_0314,"#509[FHX】が#523[WUG]領有中のLV.3都市 #523(549,649)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#523,g-14,649,649,2026-6-1012:14:37,frame_0232,"#509[FHX】が#523[WUG】領有中のLV.3都市 #523(649,649)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#523,g-16,749,649,2026-6-1312:02:34,frame_0269,"#509[FHX]が#523[WUG]領有中のLV.2都市 #523(749,649)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 碓定 全て受取 三！ 破壊履歴"
#523,g-18,849,649,2026-6-304:20:17,frame_0135,"#509[FHX]が#523[NBNH]領有中のLV.1都市 #523(849,649)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました Z026-6-3 04:24:08 #EnorEuviが#ESSrNDNU1箱右コの..部汁 碓定 全て受取 目 破壊履歴"
#523,h-2,49,749,2026-6-1704:13:55,frame_0307,"#534[KTVS]が#523[u30]領有中のLV.1都市#523(49,749)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#523,h-4,149,749,2026-6-1704:14:51,frame_0309,"#534[KTVS]が#523[u30]領有中のLV.1都市#523(149,749)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#523,h-6,249,749,2026-6-1712:29:45,frame_0321,"#534[JDX]が#523[fIrE]領有中のLv.2都市#523(249,749)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました"
#523,h-8,349,749,2026-6-1712:31:55,frame_0322,"#509[5sq]が#523[fIrE]領有中のLV.2都市#523(349,749)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました 碓定 全て受取 三！ 破壊履歴"
#523,h-10,449,749,2026-6-2012:23:11,frame_0349,"#534[JDX]が#523[fIrE]領有中のLV.2都市#523(449,749)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました"
#523,h-12,549,749,2026-6-1712:02:17,frame_0314,"#509[BHE]が#523[WUG]領有中のLv.2都市 #523(549,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#523,h-14,649,749,2026-6-1712:40:38,frame_0324,"#509[FHX]が#523[WUG]領有中のL.2都市 #523(649,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#523,h-16,749,749,2026-6-1312:23:28,frame_0280,"#440[BA」」が#523[WUG]領有中のLV.2都市#523(749,749)を 攻撃し、陣宮のために破壊宝箱x5を勝ち取りました 確定 全て受取 破壊履歴"
#523,h-18,849,749,2026-6-1320:16:20,frame_0294,"#511[JL0]が#476[ALj]領有中のLV.1都市#523(849,749)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#523,i-6,249,849,2026-6-2004:40:37,frame_0341,"#534[JDX]が#523[u30]領有中のLV.1都市#523(249,849)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#534,b-4,149,149,2026-6-1720:23:15,frame_0332,"#476[476M]が#534[5kh]領有中のLV.1都市 #534(149,149)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました"
#534,b-8,349,149,2026-6-1320:15:38,frame_0292,"#476[4762]が#534[SHA0]領有中のLV.1都市 #534(349,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 碓定 全て受取 破壊履歴"
#534,b-14,649,149,2026-6-612:36:11,frame_0204,"#476[4762]が#534[Trh]領有中のLV.1都市#534(649,149)を 中なうと 1丁年 トほトMに 確定 全て受取 破壊履歴"
#534,b-16,749,149,2026-6-612:35:17,frame_0204,"#476[4762]が#534[MOE]領有中のL.1都市 #534(749,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#534,b-18,849,149,2026-6-2020:08:32,frame_0360,"#476[4762]が#534[w6領有中のL.1都市 #534(849,149)を攻撃し、陣営のために破壊宝箱xを勝 碓定 全て受取 目 破壊履歴"
#534,c-2,49,249,2026-6-2020:16:08,frame_0362,"#476[476c]が#534[n0g]領有中のLV.1都市#534(49,249)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#534,c-6,249,249,2026-6-304:39:44,frame_0142,"#476[476d]が#534[4tH]領有中のL.2都市 #534(249,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#534,c-8,349,249,2026-5-2712:11:39,frame_0024,"#476[476c]が#534[SHA]領有中のLV.2都市 #534(349,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#534,c-10,449,249,2026-5-2712:11:30,frame_0023,"#476[476C]が#534[SHA】領有中のLV.2都市 #534(449,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#534,c-12,549,249,2026-5-3012:04:51,frame_0086,"#476[476C]が#534[JDX]領有中のL.2都市 #534(549,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 碓定 全て受取 目 破壊履歴"
#534,c-14,649,249,2026-6-312:10:54,frame_0153,"#476[476]が#534[JDX]領有中のL.2都市 #534(649,249)を攻撃し、陣営のために破壊宝額*5を勝 ち取りました"
#534,c-16,749,249,2026-6-1720:24:58,frame_0332,"#476[4762]が#534[M0E]領有中のL.都市 #534(749,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 碓定 全て受取 目 破壊履歴"
#534,c-18,849,249,2026-6-1720:21:01,frame_0329,"#476[476K]が#534[5g3領有中のL.1都市 #534(849,249)を攻撃し、陣営のために破壊宝額xを勝 ち取りました"
#534,d-4,149,349,2026-6-2012:21:45,frame_0348,"#476[476d]が#534[n09]領有中のLV.1都市 #534(149,349)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#534,d-6,249,349,2026-6-312:03:10,frame_0145,"#476[476d]が#534[RGWC]領有中のLv.2都市 #534(249,349)を攻撃し、陣営のために破壊宝箱x5を勝 確定 全て受取 目 破壊履歴"
#534,d-8,349,349,2026-5-3012:02:19,frame_0079,"#476[476c]が#534[4tH]領有中のLV.3都市 #534(349,349)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました フAフE-E_コつ イフ.クコ.クコ 碓定 全て受取 破壊履歴"
#534,d-10,449,349,2026-5-3012:05:50,frame_0089,"#476[476]が#534[SHA]領有中のLV.3都市 #534(449,349)を攻撃し、陣営のために破壊宝箱*10を 碓定 全て受取 目 破壊履歴"
#534,d-12,549,349,2026-5-2720:01:40,frame_0057,"#476[476が#534[JDX]領有中のLV3都市 #534(549,349)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#534,d-14,649,349,2026-5-2720:04:04,frame_0060,"#476[476]が#534JDX]領有中のLV3都市 #534(649,349)を攻撃し、陣営のために破壊宝額*10を 碓定 全て受取 破壊履歴"
#534,d-16,749,349,2026-6-620:26:49,frame_0210,"#476[476C]が#534[KTVS]領有中のLV.2都市 #534(749,349)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#534,d-18,849,349,2026-6-1720:24:13,frame_0332,"#476[476k]が#534[5g]領有中のLV.1都市 #534(849,349)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#534,e-4,149,449,2026-6-2012:15:51,frame_0345,"#476[476d]が#534[n09]領有中のLV.1都市 #534(149,449)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#534,e-6,249,449,2026-6-320:01:53,frame_0177,"#476[476c]が#534[SHA]領有中のL.2都市 #534(249,449)を攻撃し、陣営のために破壊宝額x5を勝 ち取りました"
#534,e-8,349,449,2026-6-1020:02:24,frame_0248,"#476[476d]が#534[4tH]領有中のLV.3都市 #534(349,449)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#534,e-14,649,449,2026-5-3012:03:03,frame_0081,"#476[476B】が#534[SHA】領有中のLV.3都市 #534(649,449)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 碓定 全て受取 破壊履歴"
#534,e-16,749,449,2026-6-620:19:43,frame_0210,"#476[476c]が#534[KTVS]領有中のLV.2都市 #534(749,449)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#534,e-20,949,449,2026-6-1012:44:41,frame_0245,"#503[one]が#534[89M]領有中のLV.1都市#534(949,449)を 攻撃し、陣営のために破壊宝箱をを勝ち取りました"
#534,f-4,149,549,2026-6-2012:05:40,frame_0343,"#476[476M]が#534領有中のL.1都市#534(149,549)を Th宙に1 津正タ十メ二部肆山許ー中塁十町5＋-+ 確定 全て受取 破壊履歴"
#534,f-6,249,549,2026-6-312:01:39,frame_0142,"#476[476C]が#534[4tH]領有中のLV.2都市 #534(249,549)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 碓定 全て受取 三！ 破壊履歴"
#534,f-8,349,549,2026-6-1020:03:42,frame_0250,"#476[476c]が#534[SHA]領有中のLV.3都市 #534(349,549)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 碓定 全て受取 三！ 破壊履歴"
#534,f-12,549,549,2026-6-612:46:26,frame_0206,"#476[476]が#534[89M]領有中のLV.3都市 #534(549,549)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#534,f-14,649,549,2026-6-312:05:21,frame_0148,"#476[476B】が#534[JDX]領有中のLV.3都市 #534(649,549)を攻撃し、陣営のために破壊宝額*10を 勝ち取りました 碓定 全て受取 目 破壊履歴"
#534,f-16,749,549,2026-6-312:50:38,frame_0173,"#476[476X]が#534[KTVS]領有中のLv.2都市 #534(749,549)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 碓定 全て受取 破壊履歴"
#534,f-18,849,549,2026-6-1320:22:59,frame_0294,"#503[Bye】が#534[JX]領有中のLV.1都市#534(849,549)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 碓定 全て受取 破壊履歴"
#534,f-20,949,549,2026-6-1312:39:55,frame_0289,"#503[Bye】が#534[89M]領有中のLV.1都市#534(949,549)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#534,g-4,149,649,2026-6-2004:43:19,frame_0341,"#476[476M]が#534領有中のLV.1都市#534(149,649)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#534,g-6,249,649,2026-6-1012:20:02,frame_0236,"#476[476C]が#534[4tH]領有中のLv.z都市 #534(249,649)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#534,g-8,349,649,2026-6-1020:04:07,frame_0251,"#476[476X]が#534[RGUC]領有中のLV.3都市 #534(349,649)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#534,g-10,449,649,2026-6-1020:02:06,frame_0248,"#476[476X]が#534[n09]領有中のLV.3都市 #534(449,649)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#534,g-12,549,649,2026-6-612:46:26,frame_0207,"#476[476B]が#534[89M]領有中のL.3都市 #534(549,649)を攻撃し、陣営のために破壊宝箱*10を 勝ち取りました"
#534,g-14,649,649,2026-6-620:04:11,frame_0207,"#476[476」が#534[KTVS]領有中のLV.3都市 #534(649,649)を攻撃し、陣営のために破壊宝箱x10を 脳ち取ました 碓定 全て受取 目 破壊履歴"
#534,g-16,749,649,2026-6-1720:14:08,frame_0328,"#503[fzn】が#534[89M]領有中のLv.2都市#534(749,649)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました 碓定 全て受取 破壊履歴"
#534,g-18,849,649,2026-6-1012:42:49,frame_0243,"#503[fzn】が#534[nol]領有中のLV.1都市#534(849,649)を 攻撃し、陣営のために破壊宝箱x2を勝ち取りました 碓定 全て受取 三！ 破壊履歴"
#534,g-20,949,649,2026-6-1712:50:18,frame_0325,"#503[one]が#534[89M]領有中のLV.1都市#534(949,649)を 攻撃し、陣営のために破壊宝額xを勝ち取りました"
#534,h-6,249,749,2026-6-1312:14:21,frame_0275,"#476[476c]が#534[n09]領有中のLV.2都市 #534(249,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#534,h-8,349,749,2026-6-1312:09:27,frame_0274,"#476[476c]が#534[n09]領有中のLv.2都市 #534(349,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#534,h-10,449,749,2026-6-612:10:44,frame_0196,"#476[476X]が#534[RGWC領有中のL.2都市 #534(449,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#534,h-12,549,749,2026-6-612:19:10,frame_0199,"#476[476X]が#534[Dao]領有中のLv.z都市 #534(549,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#534,h-14,649,749,2026-6-1312:32:48,frame_0284,"#476[476X]が#534[nol]領有中のL.2都市 #534(649,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#534,h-16,749,749,2026-6-1312:46:03,frame_0290,"#503[xjR」が#534[89M]領有中のLV.2都市#534(749,749)を 確定 全て受取 破壊履歴"
#534,h-20,949,749,2026-6-1012:44:24,frame_0244,"#503[xjR]が#534[nol]領有中のLV.1都市#534(949,749)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2076-5-10 12・44・41 碓定 全て受取 目 破壊履歴"
#534,i-10,449,849,2026-6-1312:20:14,frame_0277,"#523[fIrE]が#534[0ad]領有中のLV.1都市#534(449,849)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#534,i-12,549,849,2026-6-1312:23:19,frame_0279,"#523[fIrE]が#534[f4j領有中のLV.1都市#534(549,849)を 攻撃し、陣営のために破壊宝箱x2を勝ち取りました 碓定 全て受取 破壊履歴"
#534,j-6,249,949,2026-6-1720:30:20,frame_0334,"#523[fIrE]が#534領有中のLV.1都市#534(249,949)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 碓定 全て受取 三！ 破壊履歴"
#534,j-8,349,949,2026-6-1720:21:45,frame_0329,"#523[fIrE]が#534領有中のLV.1都市#534(349,949)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 碓定 全て受取 破壊履歴"
